RBL,Freight,R,"Reefer, insulated",0
RC,Freight,R,"Reefer, Insulated - dry ice",8
RCD,Freight,R,"Reefer, with dry ice",8
RLO,Freight,R,"Covered hopper, refrig",8
RM,Freight,R,"Reefer, ice bunkers",8
RP,Freight,R,"Reefer, mechanical",0
RPA,Freight,R,"Reefer, mechanical",8
RPB,Freight,R,"Reefer, elect mechanical",8
RPC,Freight,R,"Reefer, container-mech",8
RPL,Freight,R,"Reefer, mech & load dev",8
RS,Freight,R,"Reefer, standard refrigerator",8
RSTC,Freight,R,"Reefer, ice bunkers & fan",8
RSTM,Freight,R,"Reefer, beef rails",8
RT,Freight,R,"Reefer, milk car",8
SA,Freight,S,"Stock car, live stock",8
SC,Freight,S,"Stock car, convertible",0
SD,Freight,S,"Stock car, drop doors",8
SF,Freight,S,"Stock car, fixed double deck",8
SH,Freight,S,"Stock car, horses",8
SM,Freight,S,"Stock car, single or dbl deck",0
SP,Freight,S,"Stock car, poultry",8
SPR,Freight,S,"Stock, live & dressed poultry",8
ST,Freight,S,"Stock car, triple deck",8
TA,Freight,T,"Tank car, acid",0
TG,Freight,T,"Tank car, mineral water",8
TGB,Freight,T,"Tank car, 2 insulated tank",8
TL,Freight,T,"Tank car, lead lined acid",8
TM,Freight,T,"Tank car, general service",8
TMI,Freight,T,"Tank car, gasoline-insulated",8
TMN,Freight,T,"Tank car, non-regulatory",8
TMU,Freight,T,"Tank car, chlorine, hydrogen",8
TP,Freight,T,"Tank car, pressure tank",8
TPA,Freight,T,"Tank car, alum pressure tank",8
TR,Freight,T,"Tank car, aluminum tank",8
TS,Freight,T,"Tank car, special service",8
TVI,Freight,T,"Tank car, double-shell",8
TW,Freight,T,"Tank car, vinegar, pickles",8
VA,Freight,V,"Box car, ventilated",8
VM,Freight,V,"Box car, ventilated",8
VS,Freight,V,"Reefer car, produce ventilated",8
XA,Freight,X,"Box car, auto",8
XAB,Freight,X,"Box car, 10' doors",8
XAF,Freight,X,"Box car, auto/furniture",8
XAP,Freight,X,"Box car, Auto parts",0
XAR,Freight,X,"Box car, Auto",8
XC,Freight,X,"Box car, compartments",8
XF,Freight,X,"Box car, furniture, food",8
XI,Freight,X,"Box car, insulated/produce",8
XL,Freight,X,"Box car, retaining devices",8
XM,Freight,X,"Box car, general service",0
XMC,Freight,X,"Box car, mult-compartments",8
XMD,Freight,X,"Boxcar, double door",0
XME,Freight,X,"Box car, wood lining",8
XML,Freight,X,"Box car, w/loading devices",8
XMP,Freight,X,"Box car, no auto parts",8
XMR,Freight,X,"Box car, automobile",8
XP,Freight,X,"Box car, single commodity",8
XR,Freight,X,"Box car, automobile",8
XT,Freight,X,"Box car, enclosed tank",8
XU,Freight,X,"Box car, removable super",8
XV,Freight,X,"Box car, ventilated/produce",8
